Id,WnvPresent
1,-1.44445296002e-10
2,0.205471201211
3,0.543769246429
4,0.95230043714
5,1.3788047222
6,1.78137169012
7,2.12819981517
8,2.39711594395
9,69.9933158162
10,90.7199951694
11,113.790004424
12,139.052032336
13,166.342185473
14,195.485478523
15,226.297394525
16,258.585492593
17,14.574608958
18,13.9034240257
19,12.8785282569
20,11.5493384938
21,9.98032956106
22,8.24941052903
23,6.44603420764
24,4.66907725104
25,-2.33168101824
26,-1.38652069346
27,-0.71865275003
28,-0.296900398822
29,-0.0763944141536
30,1.02097760801e-10
31,-2.352769507e-10
32,1.41025614797e-10
33,1.73689534977e-12
34,22.6655998905
35,46.2701532373
36,70.6901228055
37,95.7956106334
38,121.450758448
39,147.514229068
40,173.839771561
41,-0.326181332132
42,-0.504079876012
43,-0.726488657537
44,-0.992020667695
45,-1.29719477234
46,-1.63669506014
47,-2.00374252293
48,-2.39056288386
49,286.878925344
50,309.482627908
51,331.179352704
52,351.819547929
53,371.257900266
54,389.354648335
55,405.97691347
56,421.000032252
57,76.3730507165
58,84.4404740089
59,92.4333065612
60,100.231718811
61,107.714015549
62,114.758902376
63,121.247781286
64,127.067032972
65,656.905792747
66,693.430753482
67,729.491791258
68,764.961262504
69,799.720883477
70,833.662392289
71,866.688038298
72,898.710902316
73,4.67206184932
74,3.85899846169
75,3.02717055616
76,2.20310461782
77,1.41150670593
78,0.674479371225
79,0.0108505014803
80,-0.564364371777
81,1356.09328498
82,1357.50179657
83,1358.67545161
84,1359.62982191
85,1360.37784793
86,1360.92985619
87,1361.29357547
88,1361.47415024
89,1282.56381002
90,1291.20521294
91,1299.13052965
92,1306.38158752
93,1312.99979721
94,1319.02589342
95,1324.49970584
96,1329.45996027
97,-41.368285294
98,-32.894632663
99,-23.1908547928
100,-12.2306958345
101,-8.78463968235e-14
102,13.5024025915
103,28.2639787907
104,44.2579597252
105,8.83347980482
106,17.6167405658
107,29.2453990831
108,43.6470177847
109,60.731545504
110,80.3923293157
111,102.507287117
112,126.940224317
113,55.5082959045
114,68.6482217012
115,82.8249252658
116,97.8898359979
117,113.681370857
118,130.026925808
119,146.745010447
120,163.647497896
121,188.332379729
122,207.840985234
123,226.994205587
124,245.574028768
125,263.370646198
126,280.184606819
127,295.828860938
128,310.130671268
129,1083.58912852
130,1059.5053713
131,1034.07563184
132,1007.30831972
133,979.220938455
134,949.840742435
135,919.205326023
136,887.363132407
137,1369.0001849
138,1369.03545676
139,1369.06484355
140,1369.08927136
141,1369.10953076
142,1369.1262948
143,1369.14013498
144,1369.15153529
145,1366.56070235
146,1366.11701668
147,1365.59687154
148,1364.99021273
149,1364.28568286
150,1363.47052866
151,1362.53050488
152,1361.44977608
153,1182.67901342
154,1197.61200802
155,1211.22724895
156,1223.54645295
157,1234.59219855
158,1244.38719679
159,1252.95361099
160,1260.31243201
161,50.4445379081
162,38.6878772846
163,28.2998156806
164,19.3887331955
165,12.0441308769
166,6.33554581557
167,2.31171511004
168,2.75063999355e-12
169,1278.98745286
170,1277.16276534
171,1274.19581724
172,1270.07676564
173,1264.79252297
174,1258.32704208
175,1250.66167811
176,1241.77562452
177,1353.61531359
178,1355.65488413
179,1357.453133
180,1359.03480179
181,1360.42264048
182,1361.63749146
183,1362.69838145
184,1363.62261912
185,46.5451110586
186,48.4350475473
187,49.7756456567
188,50.5458968946
189,50.7382707672
190,50.358456994
191,49.4248192029
192,47.967574402
193,560.215773323
194,598.841750145
195,637.216831618
196,675.190964862
197,712.624267822
198,749.387684866
199,785.363493388
200,820.445663024
201,1368.4953221
202,1368.61310605
203,1368.71230474
204,1368.79565563
205,1368.86552639
206,1368.92395899
207,1368.97270942
208,1369.01328344
209,174.321172663
210,161.052020133
211,147.101349935
